producer_id,event_type_identifier,version,schema_format,partition_key,kafka_topics,requires_archival,publish_to_lce
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.account-state-updated--v1.0.1--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,INTERCONNECT_USAGE,v1,SCHEMA_FORMAT_JSON,resource_urn,ept--bandwidth-collector.network-product--interconnect-usage--v1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.awarded_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.awarded-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.extended_credit_expiration,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.extended-credit-expiration--v1.0.0--nyc3;eventing-nyc3,True,False
invoice-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.invoice_generated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--invoice-workers.billing-cloudways--billing.lifecycle.invoice-generated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.taxation_identity_created,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.taxation-identity-created--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,INTERCONNECT_ATTACHMENT_BGP_STATUS,v1,SCHEMA_FORMAT_JSON,ia_uuid,ept--bandwidth-collector.network-product--interconnect-attachment-bgp-status--v1--nyc3;eventing-nyc3,True,False
bandwidth-collector.stage.network-product.service.digitalocean.com,interconnect_gateways.state.bmp_route_monitoring,v3,SCHEMA_FORMAT_JSON,tunnel_id,ept--bandwidth-collector.stage.network-product--interconnect-gateways.state.bmp-route-monitoring--v3--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,interconnect.billing.partner_interconnect_billing_usage,v1,SCHEMA_FORMAT_JSON,resource_urn,ept--bandwidth-collector.network-product--interconnect.billing.partner-interconnect-billing-usage--v1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.taxation_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.taxation-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.expired_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.expired-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.account-state-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.expired_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.expired-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.expired_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.expired-credit--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,PEERING_USAGE,v1,SCHEMA_FORMAT_JSON,peering_urn,ept--bandwidth-collector.network-product--peering-usage--v1--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.account-state-updated--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,TRANSIT_GATEWAY_BANDWIDTH,v1,SCHEMA_FORMAT_JSON,no_order,ept--bandwidth-collector.network-product--transit-gateway-bandwidth--v1--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,interconnect_gateways.state.bmp_route_monitoring,v3,SCHEMA_FORMAT_JSON,tunnel_id,ept--bandwidth-collector.network-product--interconnect-gateways.state.bmp-route-monitoring--v3--nyc3;eventing-nyc3,True,False
usageservice.marketplace.service.digitalocean.com,marketplace.usageservice.usage_request,v1.0.2,SCHEMA_FORMAT_JSON,no_order,ept--usageservice.marketplace--marketplace.usageservice.usage-request--v1.0.2--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.taxation_identity_deleted,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.taxation-identity-deleted--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.extended_credit_expiration,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.extended-credit-expiration--v1.0.0--nyc3;eventing-nyc3,True,False
